date,lsi,contrib_M1,share_M1,contrib_M2,share_M2,contrib_M3,share_M3,contrib_M4,share_M4,contrib_M5,share_M5,score_M1,score_M2,score_M3,score_M4,score_M5,status
2016-08-15,99.79048189013943,0.12322423792677795,0.0012348295708446125,96.0605373191985,0.9626222411166702,3.1400508613376026,0.03146643649636368,0.11690926530232354,0.001171547256691579,0.3497598799474145,0.003504942288308312,0.12348295708446125,96.26222411166701,3.146643649636368,0.1171547256691579,0.3504942288308312,red
2016-08-16,99.75762842577073,0.29544786616920565,0.0029616568760858952,88.9532667248999,0.8916938797426373,9.529990047248763,0.09553144153121074,0.4323713848486531,0.004334218762732306,0.5465530360685888,0.00547880943736826,0.2961656876085895,89.16938797426373,9.553144153121075,0.4334218762732306,0.5478809437368259,red
2016-08-14,99.69142799267148,0.14114967952421215,0.001415865760640808,95.83354094899705,0.9613017174961319,3.199121494052006,0.03209023642722,0.10456731095957125,0.001048909751470891,0.41304664066340624,0.004143251320402093,0.14158657606408082,96.1301717496132,3.209023642722,0.10489097514708909,0.41432513204020927,red
2016-08-17,99.69008485649283,0.4580152551625529,0.004594391265910557,83.52643670221497,0.8378610252208535,14.233895585343337,0.14278145721145186,0.4164242540132762,0.004177188279182756,1.0553130493851448,0.010585937918543281,0.45943912659105574,83.78610252208534,14.278145721145187,0.4177188279182756,1.0585937918543282,red
2016-08-18,99.60702142722526,0.6960259443236139,0.006987719684321083,79.51157247200567,0.798252686735526,16.963751757787726,0.17030678675781666,0.8137954301065384,0.00817006088974473,1.6218728525164048,0.016282716110544226,0.6987719684321083,79.8252686735526,17.030678675781665,0.8170060889744731,1.6282716110544226,red
2016-08-13,99.55425746139424,0.16765231350159054,0.001684029571177343,95.63147520435402,0.9605965394442179,3.2600741222747063,0.03274670722684982,0.08575104029601693,0.0008613498054492546,0.40930385254421847,0.004111364626499684,0.1684029571177343,96.05965394442178,3.2746707226849816,0.08613498054492545,0.4111364626499684,red
2016-08-19,99.5212183012477,1.0024546259528484,0.010072772852503159,77.8647168412489,0.782393123500104,17.265734120040957,0.1734879698495863,1.209227346185259,0.012150447581187808,2.179086163292286,0.021895694209613258,1.007277285250316,78.23931235001041,17.348796984958632,1.2150447581187809,2.189569420961326,red
2016-08-20,99.43358871079681,1.485974361872172,0.014944390332668544,77.72760944543492,0.781703752758096,15.558578891732417,0.15647206435427607,1.6899807133102736,0.016996074819602382,2.9714446578361087,0.029883711292756146,1.4944390332668545,78.1703752758096,15.647206435427607,1.6996074819602383,2.9883711292756145,red
2016-08-12,99.35991197940308,0.20702192013078874,0.0020835557923370904,95.3847363251065,0.959992158053435,3.309040141744826,0.033303573602508595,0.05693213245272332,0.0005729889582080661,0.40218078287847175,0.004047716778994755,0.20835557923370904,95.9992158053435,3.3303573602508596,0.05729889582080661,0.4047716778994755,red
2016-08-21,99.34474147736371,2.3554354569482343,0.02370971449439963,76.59894340883767,0.771041750874063,13.411428101274128,0.1349988726311196,2.3985732506268045,0.024143937715851157,4.580359478040778,0.04610570635069235,2.370971449439963,77.1041750874063,13.49988726311196,2.414393771585116,4.6105706350692355,red
