name,n,lag1,lag5,lag22,lag66
ruonia_rate,4528,0.9979848563404905,0.9874391744676284,0.9612353429372592,0.8846848272981563
key_rate,4529,0.998755758765958,0.9937085110888702,0.970285807417687,0.8934605044021748
deficit_total,4537,0.9966092500691166,0.9857450282450987,0.9593767132945268,0.9107581492763243
