name,n,n_missing_pct,min,p01,p25,median,mean,p75,p95,p99,p99_9,max,std,skew,ex_kurt,tail_ratio_p99_p50,tail_ratio_p99_9_p99,hill_alpha_top50,frac_zero
score_M1,5263,0.0,0.0,20.910795473407678,32.92540568634268,37.54381440850333,41.12245282717618,47.6742509048768,66.73926146794167,78.47851727183466,85.29385064274852,86.52552925354725,12.499240291641911,1.0321108207795042,0.9436236206016329,2.0903181658084264,1.0868432993873578,22.04582210686717,0.00019000570017100514
score_M2,5263,0.0,0.0,2.8000056695823563,5.52005546201768,13.321062489125337,14.321735354837745,20.154691058495803,30.382172581403456,39.996185633135156,83.300323554746,88.48454673346133,9.562689865528087,1.4570482516604168,5.617662568742668,3.0024771421788676,2.0827066940537247,3.4224801143961536,0.00019000570017100514
score_M3,5263,0.0,0.0,4.814557480411613,14.960728233647838,21.094521956251793,20.540935795328398,25.020731474937275,33.65595343325222,41.036749631881996,47.57554273317744,64.25440208943279,7.810439817679869,0.24445690042634685,0.33537611111903587,1.9453747146765712,1.1593399370064965,13.00668853138496,0.00019000570017100514
score_M4,5263,0.0,0.0,4.248972160067171,11.277293435945491,14.574221921825037,15.64374399481547,18.487684623333145,27.385266120172915,27.38526612017294,31.462423630050804,36.91292094645509,6.280881901613074,0.6114127611178524,-0.3662822736850009,1.8790207989877827,1.1488814274064874,25.05771297016284,0.00019000570017100514
score_M5,5263,0.0,0.0,2.3067352810784088,5.971915373800311,7.853845063522715,8.352131457825115,10.51077006676071,14.040690480788848,21.916415405904623,31.922952719468764,35.69781890048166,3.6797478056644275,1.7499534330637447,6.758415737969198,2.790533201080793,1.456577279095934,6.211553138890623,0.00019000570017100514
m4_seasonal_factor,5263,0.0,1.0,1.0,1.0,1.1142857142857143,1.124795743872316,1.2285714285714284,1.2857142857142856,1.3428571428571427,1.4,1.4,0.11557066668698304,0.10733762258679513,-1.5130676372090957,1.205128205128205,1.0425531914893618,49.99276536626828,0.0
lsi,5263,0.0,0.0,7.913628093184509e-122,5.471504011453707,41.827825469135256,40.60655261395913,70.6864262537224,88.18496615109368,96.75376009748251,99.89713957295153,99.98802351367722,32.23688909473698,0.05923525890244037,-1.4849061888368746,2.313143440097719,1.0324884477078924,65.21424255235152,0.00019000570017100514
proxy_stress,5263,0.0,0.0,0.0,0.0,2.1998237092009987,8.13901860114004,12.565622340512235,30.629164417396293,60.31414812126449,98.65560171161808,99.9999940374237,12.832129550665481,2.9746784493508103,13.09943481975526,27.417718914926724,1.6356958488954574,3.3033623749074055,0.4305529165874976
