scenario,param,direction,base_value,scenario_value,mean_abs_diff,max_abs_diff,q90_abs_diff,corr_with_base,status
lr_+20pct,lr,1,0.001,0.0012,7.111993094630941,50.79251322152007,16.865841517933582,0.9317540480797419,ok
lr_-20pct,lr,-1,0.001,0.0008,9.281340782756626,63.3799054733241,21.955488599290145,0.883516360309734,ok
hidden_dim_+20pct,hidden_dim,1,64.0,77.0,6.883075565506841,48.27579862751613,16.54053285401563,0.9320500629289803,ok
hidden_dim_-20pct,hidden_dim,-1,64.0,51.0,6.760277591283392,53.578041171625756,16.10170891535943,0.9340115861388933,ok
seq_len_+20pct,seq_len,1,14.0,17.0,7.086887057685066,53.45146612174637,16.666956103716945,0.9294089857905663,ok
seq_len_-20pct,seq_len,-1,14.0,11.0,6.987429169735331,59.680508874873404,16.614548625438452,0.9312358860546278,ok
