auction_date,issue_code,paper_type,maturity_date,days_to_maturity,offer_volume_mlnrub,cutoff_price_pct,weighted_avg_price_pct,cutoff_yield_pct,weighted_avg_yield_pct,demand_volume_mlnrub,allotment_volume_mlnrub,revenue_mlnrub,activity_ratio,placement_ratio,cover_ratio,bid_to_offer_ratio,flag_undersubscribed,flag_oversubscribed,source_year,demand_satisfaction_ratio,auction_format
2015-01-21,25082RMFS,ОФЗ-ПД,2016-05-11,476.0,5000.0,89.9,89.9514,15.32,15.27,8179.171999999999,1113.159,1014.11420481,1.6358343999999998,0.22263180000000002,7.347712231585962,1.6358343999999998,0,1,2015,,
2015-01-28,24018RMFS,ОФЗ-ПК,2017-12-27,1064.0,5000.0,92.2,95.9602,14.77,12.989999999999998,4757.379,2508.393,2407.05832999,0.9514758,0.5016786,1.8965843868963117,0.9514758,0,0,2015,,
2015-02-04,24018RMFS,ОФЗ-ПК,2017-12-27,1057.0,10000.0,93.89999999999999,94.0607,13.969999999999999,13.889999999999999,20605.945,7340.64,6920.00262208,2.0605945,0.734064,2.8071046938686544,2.0605945,0,1,2015,,
2015-02-11,24018RMFS,ОФЗ-ПК,2017-12-27,1050.0,15000.0,94.0,94.0536,13.930000000000001,13.91,30296.127,14999.995,14170.731329100001,2.0197418,0.9999996666666667,2.019742473247491,2.0197418,0,1,2015,,
2015-02-11,26216RMFS,ОФЗ-ПД,2019-05-15,1554.0,5000.0,78.9,78.9868,13.79,13.76,20360.027,4874.163,3925.10697394,4.072005399999999,0.9748325999999999,4.177132976472063,4.072005399999999,0,1,2015,,
2015-02-18,26215RMFS,ОФЗ-ПД,2023-08-16,3101.0,5000.0,75.288,75.3386,12.0,11.99,16152.591000000002,5000.0,3934.7318,3.2305182000000006,1.0,3.2305182000000006,3.2305182000000006,0,1,2015,,
2015-02-18,29011RMFS,ОФЗ-ПК,2020-01-29,1806.0,10000.0,93.4,93.5923,13.38,13.320000000000002,32899.39,10000.0,9423.226625,3.289939,1.0,3.289939,3.289939,0,1,2015,,
2015-02-25,29011RMFS,ОФЗ-ПК,2020-01-29,1799.0,10000.0,92.95,93.0462,13.530000000000001,13.5,25603.197,9999.996,9389.91495402,2.5603197,0.9999995999999999,2.5603207241282897,2.5603197,0,1,2015,,
2015-03-04,29011RMFS,ОФЗ-ПК,2020-01-29,1792.0,15000.0,92.9,93.07220000000001,13.55,13.489999999999998,15336.146,12990.815,12229.31345133,1.0224097333333333,0.8660543333333334,1.1805376337050446,1.0224097333333333,1,0,2015,,
2015-03-11,24018RMFS,ОФЗ-ПК,2017-12-27,1022.0,10000.0,94.86,94.9958,13.569999999999999,13.51,19554.411,9999.999,9624.88348493,1.9554411,0.9999998999999999,1.9554412955441296,1.9554411,0,0,2015,,
