date_raw,n_documents,documents,page,date
19 января 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260119_105911972.docx;https://roskazna.gov.ru/storage/operation-day-files/20260119_105851638.XML,9,2026-01-19
20 января 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260120_110417187.docx;https://roskazna.gov.ru/storage/operation-day-files/20260120_110417726.XML,9,2026-01-20
21 января 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260121_111435769.docx;https://roskazna.gov.ru/storage/operation-day-files/20260121_111435211.XML,9,2026-01-21
22 января 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260122_105634895.docx;https://roskazna.gov.ru/storage/operation-day-files/20260122_105634804.XML,9,2026-01-22
23 января 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260123_110139762.docx;https://roskazna.gov.ru/storage/operation-day-files/20260123_110139868.XML,9,2026-01-23
26 января 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260126_173716888.docx;https://roskazna.gov.ru/storage/operation-day-files/20260126_173716686.XML;https://roskazna.gov.ru/storage/operation-day-files/20260126_173716302.docx;https://roskazna.gov.ru/storage/operation-day-files/20260126_173716639.XML,8,2026-01-26
27 января 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260127_185827550.docx;https://roskazna.gov.ru/storage/operation-day-files/20260127_185827411.XML;https://roskazna.gov.ru/storage/operation-day-files/20260127_190753704.docx;https://roskazna.gov.ru/storage/operation-day-files/20260127_190753195.XML;https://roskazna.gov.ru/storage/operation-day-files/20260127_185827429.docx;https://roskazna.gov.ru/storage/operation-day-files/20260127_185827542.XML,8,2026-01-27
28 января 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260128_191347954.docx;https://roskazna.gov.ru/storage/operation-day-files/20260128_191347977.XML;https://roskazna.gov.ru/storage/operation-day-files/20260128_191347663.docx;https://roskazna.gov.ru/storage/operation-day-files/20260128_191347186.XML,8,2026-01-28
29 января 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260129_190706185.docx;https://roskazna.gov.ru/storage/operation-day-files/20260129_190706463.XML;https://roskazna.gov.ru/storage/operation-day-files/20260129_190706392.docx;https://roskazna.gov.ru/storage/operation-day-files/20260129_190706425.xml;https://roskazna.gov.ru/storage/operation-day-files/20260129_190706571.docx;https://roskazna.gov.ru/storage/operation-day-files/20260129_190706180.XML,8,2026-01-29
30 января 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260130_180936844.docx;https://roskazna.gov.ru/storage/operation-day-files/20260130_180936956.XML;https://roskazna.gov.ru/storage/operation-day-files/20260130_185707170.docx;https://roskazna.gov.ru/storage/operation-day-files/20260130_185707858.XML;https://roskazna.gov.ru/storage/operation-day-files/20260130_180936526.docx;https://roskazna.gov.ru/storage/operation-day-files/20260130_180936459.XML,8,2026-01-30
2 февраля 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260202_173310280.docx;https://roskazna.gov.ru/storage/operation-day-files/20260202_173310367.XML;https://roskazna.gov.ru/storage/operation-day-files/20260202_173310873.docx;https://roskazna.gov.ru/storage/operation-day-files/20260202_173310334.XML;https://roskazna.gov.ru/storage/operation-day-files/20260202_173310936.docx;https://roskazna.gov.ru/storage/operation-day-files/20260202_173310122.XML,8,2026-02-02
3 февраля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260203_171905231.docx;https://roskazna.gov.ru/storage/operation-day-files/20260203_171905515.XML;https://roskazna.gov.ru/storage/operation-day-files/20260203_171905346.docx;https://roskazna.gov.ru/storage/operation-day-files/20260203_171905192.XML,8,2026-02-03
4 февраля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260204_174553436.docx;https://roskazna.gov.ru/storage/operation-day-files/20260204_174553280.XML;https://roskazna.gov.ru/storage/operation-day-files/20260204_174553498.docx;https://roskazna.gov.ru/storage/operation-day-files/20260204_174552568.XML,8,2026-02-04
5 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260205_173635433.docx;https://roskazna.gov.ru/storage/operation-day-files/20260205_173635263.xml,8,2026-02-05
6 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260206_164915190.docx;https://roskazna.gov.ru/storage/operation-day-files/20260206_164915461.xml,8,2026-02-06
10 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260210_113339906.docx;https://roskazna.gov.ru/storage/operation-day-files/20260210_113339709.XML,7,2026-02-10
11 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260211_105921693.docx;https://roskazna.gov.ru/storage/operation-day-files/20260211_105921104.XML,7,2026-02-11
12 февраля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260212_174603911.docx;https://roskazna.gov.ru/storage/operation-day-files/20260212_174603643.XML;https://roskazna.gov.ru/storage/operation-day-files/20260212_174603262.docx;https://roskazna.gov.ru/storage/operation-day-files/20260212_174603211.XML,7,2026-02-12
13 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260213_110158356.docx;https://roskazna.gov.ru/storage/operation-day-files/20260213_110158866.xml,7,2026-02-13
17 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260217_113325541.docx;https://roskazna.gov.ru/storage/operation-day-files/20260217_113325579.xml,7,2026-02-17
18 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260218_110509367.docx;https://roskazna.gov.ru/storage/operation-day-files/20260218_110509360.xml,7,2026-02-18
19 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260219_112013717.docx;https://roskazna.gov.ru/storage/operation-day-files/20260219_112013495.xml,7,2026-02-19
24 февраля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260224_105037916.docx;https://roskazna.gov.ru/storage/operation-day-files/20260224_105037414.XML,7,2026-02-24
25 февраля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260225_184025565.docx;https://roskazna.gov.ru/storage/operation-day-files/20260225_184025625.XML;https://roskazna.gov.ru/storage/operation-day-files/20260225_184025914.docx;https://roskazna.gov.ru/storage/operation-day-files/20260225_184024228.XML,7,2026-02-25
26 февраля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260226_184242184.docx;https://roskazna.gov.ru/storage/operation-day-files/20260226_184242301.XML;https://roskazna.gov.ru/storage/operation-day-files/20260226_184242774.docx;https://roskazna.gov.ru/storage/operation-day-files/20260226_184242394.XML,7,2026-02-26
27 февраля 2026 00:00,10,https://roskazna.gov.ru/storage/operation-day-files/20260227_180524921.docx;https://roskazna.gov.ru/storage/operation-day-files/20260227_180523946.XML;https://roskazna.gov.ru/storage/operation-day-files/20260227_192720242.docx;https://roskazna.gov.ru/storage/operation-day-files/20260227_192720679.XML;https://roskazna.gov.ru/storage/operation-day-files/20260227_180523895.docx;https://roskazna.gov.ru/storage/operation-day-files/20260227_180523387.XML;https://roskazna.gov.ru/storage/operation-day-files/20260227_180523494.docx;https://roskazna.gov.ru/storage/operation-day-files/20260227_180523509.XML;https://roskazna.gov.ru/storage/operation-day-files/20260227_180523767.docx;https://roskazna.gov.ru/storage/operation-day-files/20260227_180523960.XML,6,2026-02-27
2 марта 2026 00:00,10,https://roskazna.gov.ru/storage/operation-day-files/20260302_181407757.docx;https://roskazna.gov.ru/storage/operation-day-files/20260302_181407958.XML;https://roskazna.gov.ru/storage/operation-day-files/20260303_115348270.docx;https://roskazna.gov.ru/storage/operation-day-files/20260303_115841774.XML;https://roskazna.gov.ru/storage/operation-day-files/20260302_181407987.docx;https://roskazna.gov.ru/storage/operation-day-files/20260302_181407863.XML;https://roskazna.gov.ru/storage/operation-day-files/20260302_181407850.docx;https://roskazna.gov.ru/storage/operation-day-files/20260302_181407133.XML;https://roskazna.gov.ru/storage/operation-day-files/20260302_181407726.docx;https://roskazna.gov.ru/storage/operation-day-files/20260302_181407336.XML,6,2026-03-02
3 марта 2026 00:00,8,https://roskazna.gov.ru/storage/operation-day-files/20260303_175940940.docx;https://roskazna.gov.ru/storage/operation-day-files/20260303_175940716.XML;https://roskazna.gov.ru/storage/operation-day-files/20260303_191206893.docx;https://roskazna.gov.ru/storage/operation-day-files/20260303_191206351.xml;https://roskazna.gov.ru/storage/operation-day-files/20260303_175940425.docx;https://roskazna.gov.ru/storage/operation-day-files/20260303_175940903.XML;https://roskazna.gov.ru/storage/operation-day-files/20260303_175941112.docx;https://roskazna.gov.ru/storage/operation-day-files/20260303_175940881.XML,6,2026-03-03
